Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
OXCA,2022-OXCA-BK-034,BK,6/8/22,3,O,3,1.634,1.6,1.521,"yes, MAS",AV,,184,.,219,88.5,6.08,82.4,209,201,78.4,69.2,9.2
OXCA,2022-OXCA-BK-035,BK,6/8/22,5,O,5,1.862,1.815,1.76,"yes, MAS",AV,,206,.,246,158.7,16.99,141.7,231,225,107.4,99.4,8
OXCA,2022-OXCA-BK-036,BK,6/8/22,3,O,3,1.341,1.339,1.275,"yes, MAS",AV,,167,.,199,68.5,6.6,61.9,182,175,51,45.4,5.5
OXCA,2022-OXCA-BK-037,BK,6/8/22,3,T,4,1.705,1.705,1.622,"yes, MAS",AV,,187,.,222,107.4,10.1,97.3,220,211,91.8,81.1,10.7
OXCA,2022-OXCA-BK-038,BK,6/8/22,5,O,5,1.568,1.509,1.311,"yes, MAS",AV,,195,.,232,120.7,12.62,108.1,199,179,67.9,48.5,19.4
OXCA,2022-OXCA-BK-039,BK,6/8/22,4,T,5,1.686,1.686,1.606,"yes, MAS altered",AV,,194,.,231,120.3,6.57,113.7,218,209,89.3,79.1,10.1
OXCA,2022-OXCA-BK-040,BK,6/8/22,3,T,4,1.455,1.455,1.412,"yes, MAS",AV,,173,.,203,96.7,10.67,86,194,190,62.2,57.8,4.3
OXCA,2022-OXCA-BK-041,BK,6/8/22,4,T,5,1.734,1.734,1.666,"yes, MAS altered",AV,,189,.,226,120.6,6.4,114.2,223,216,95.7,86.6,9.1
OXCA,2022-OXCA-BK-042,BK,6/8/22,3,O,3,1.458,1.404,1.3,"yes, MAS",AV,,167,.,196,68.2,4.48,63.7,189,178,57,47.5,9.5
OXCA,2022-OXCA-BK-043,BK,6/8/22,4,T,5,1.623,1.623,1.531,"yes, MAS",AV,,194,.,233,130.8,10.26,120.5,211,202,81.2,70.3,10.9
OXCA,2022-OXCA-BK-044,BK,6/8/22,4,O,4,1.375,1.352,1.288,"yes, MAS",AV,,173,.,205,85.8,8.69,77.1,183,177,52.1,46.5,5.6
OXCA,2022-OXCA-BK-045,BK,6/8/22,5,T,6,1.94,1.94,1.799,"yes, MAS",AV,,206,.,241,149.7,5.34,144.4,244,229,127.3,105,22.2
OXCA,2022-OXCA-BK-046,BK,6/8/22,5,T,6,1.609,1.609,1.553,"yes, MAS",AV,,194,.,230,128.4,10.63,117.8,210,204,79.5,72.8,6.6
OXCA,2022-OXCA-BK-047,BK,6/8/22,3,T,4,1.43,1.43,1.367,"yes, MAS altered",AV,,160,.,194,66.1,4.38,61.7,191,185,59.6,53.5,6.1
OXCA,2022-OXCA-BK-048,BK,6/8/22,2,T,3,1.44,1.44,1.38,"yes, MAS",AV,,173,.,201,81.3,9.15,72.2,192,186,60.6,54.7,5.9
OXCA,2022-OXCA-BK-049,BK,6/22/22,2,T,3,1.23,1.23,1.195,"yes, MAS",AV,,172,.,201,73.5,4.47,69,171,167,41.8,39.1,2.7
OXCA,2022-OXCA-BK-050,BK,7/7/22,1,T,2,1.132,1.132,1.053,"yes, MAS altered",AV,,140,.,169,40.4,4.73,35.7,161,153,34.5,29.3,5.2
OXCA,2022-OXCA-BK-051,BK,7/7/22,2,T,3,1.377,1.377,1.319,"yes, MAS altered",AV,,161,.,195,67.7,5.57,62.1,186,180,54.5,49.2,5.3
OXCA,2022-OXCA-BK-052,BK,7/7/22,2,T,3,1.497,1.497,1.432,"yes, MAS altered",AV,,157,.,190,58.1,5.95,52.2,198,192,66.6,59.8,6.8
OXCA,2022-OXCA-BK-053,BK,7/7/22,,,,,,,"don’t use, deformed",AV,,177,.,210,86,7.23,78.8,,0,,,
OXCA,2022-OXCA-BK-054,BK,7/7/22,3,T,4,1.753,1.753,1.624,"yes, MAS altered",AV,,184,.,217,86.6,4.34,82.3,224,211,98.4,81.3,17.1
OXCA,2022-OXCA-BK-055,BK,7/7/22,4,O,4,1.712,1.663,1.606,"yes, MAS",AV,,190,.,230,111.1,7.74,103.4,215,209,86.3,79.1,7.1
OXCA,2022-OXCA-BK-056,BK,7/7/22,2,T,3,1.384,1.384,1.275,"yes, MAS altered",AV,,154,.,184,49.3,3.82,45.5,187,175,55.1,45.4,9.7
OXCA,2022-OXCA-BK-057,BK,7/7/22,3,T,4,1.84,1.84,1.76,"yes, MAS altered",AV,,190,.,226,103.7,6.74,97,233,225,111.2,99.4,11.8
OXCA,2022-OXCA-BK-058,BK,7/7/22,4,O,4,1.845,1.789,1.71,"yes, MAS",AV,,196,.,231,121.9,9.06,112.8,228,220,103.6,92.5,11.1
OXCA,2022-OXCA-BK-059,BK,7/7/22,2,T,3,1.619,1.619,1.543,"yes, MAS",AV,,160,.,190,65.8,5.91,59.9,211,203,80.7,71.7,9
OXCA,2022-OXCA-BK-060,BK,7/7/22,2,T,3,1.463,1.463,1.405,"yes, MAS",AV,,166,.,200,64.9,6.3,58.6,195,189,63,57.1,5.8
OXCA,2022-OXCA-BK-061,BK,7/7/22,1,T,2,1.282,1.282,1.181,"yes, MAS",AV,,149,.,178,49.5,4.11,45.4,176,166,46,38,8
OXCA,2022-OXCA-BK-062,BK,7/7/22,4,T,5,1.956,1.956,1.836,"yes, MAS altered",AV,,204,.,241,117.6,8.69,108.9,245,233,130,110.6,19.4
OXCA,2022-OXCA-BK-063,BK,8/10/22,2,T,3,1.602,1.602,1.514,"yes, MAS altered",AV,,162,.,192,52.2,2.4,49.8,209,200,78.6,68.4,10.2
OXCA,2022-OXCA-BK-064,BK,8/10/22,3,T,4,1.584,1.584,1.491,"yes, MAS",AV,,182,.,219,78.2,3.14,75.1,207,198,76.5,65.9,10.5
OXCA,2022-OXCA-BK-065,BK,8/10/22,4,O,4,1.569,1.487,1.294,"yes, MAS",AV,,183,.,219,85.3,3.9,81.4,197,177,65.5,47,18.5
OXCA,2022-OXCA-BK-066,BK,8/10/22,3,T,4,1.783,1.783,1.707,"yes, MAS",AV,,182,.,218,82.7,3.74,79,228,220,102.7,92.1,10.6
OXCA,2022-OXCA-BK-067,BK,8/10/22,4,T,5,1.508,1.508,1.413,"yes, MAS altered",AV,,194,.,230,100.2,4.6,95.6,199,190,67.8,57.9,9.9
OXCA,2022-OXCA-BK-068,BK,8/10/22,4,T,5,1.737,1.737,1.684,"yes, MAS",AV,,196,.,233,101,4.07,96.9,223,217,96.2,89,7.2
OXCA,2022-OXCA-BK-069,BK,8/10/22,2,T,3,1.553,1.553,1.425,"yes, MAS",AV,,160,.,188,54.7,4.73,50,204,191,72.8,59.1,13.7
OXCA,2022-OXCA-BK-070,BK,8/10/22,3,T,4,1.485,1.485,1.405,"yes, MAS altered",AV,,176,.,213,78.5,4.49,74,197,189,65.3,57.1,8.2
OXCA,2022-OXCA-BK-071,BK,8/10/22,6,T,7,1.49,1.49,1.384,"yes, MAS altered",AV,,180,.,217,84.4,3.91,80.5,198,187,65.8,55.1,10.7
OXCA,2022-OXCA-BK-072,BK,8/10/22,4,O,4,1.617,1.589,1.498,"yes, MAS altered",AV,,171,.,205,69.1,3.67,65.4,208,198,77.1,66.7,10.4
OXCA,2022-OXCA-BK-073,BK,8/10/22,4,O,4,1.617,1.581,1.464,"yes, MAS",AV,,190,.,225,88.4,4.16,84.2,207,195,76.1,63.1,13
OXCA,2022-OXCA-BK-074,BK,8/10/22,1,T,2,1.286,1.286,1.151,"yes, MAS altered",AV,,141,.,169,37.8,2.66,35.1,177,163,46.3,35.9,10.5
OXCA,2022-OXCA-BK-075,BK,8/10/22,6,T,7,1.729,1.729,1.634,"yes, MAS altered",AV,,188,.,216,85.7,3.2,82.5,222,212,95.1,82.6,12.5
OXCA,2022-OXCA-BK-076,BK,8/10/22,1,T,2,1.293,1.293,1.237,"yes, MAS",AV,,137,.,164,30.4,1.92,28.5,177,172,46.9,42.3,4.6
OXCA,2022-OXCA-BK-077,BK,8/10/22,3,T,4,1.422,1.422,1.374,"yes, MAS altered",AV,,164,.,195,63.4,5.6,57.8,191,186,58.8,54.2,4.6
OXCA,2022-OXCA-BK-078,BK,8/10/22,3,O,3,1.528,1.486,1.312,"yes, MAS",AV,,172,.,204,73,3.59,69.4,197,179,65.4,48.6,16.9
OXCA,2022-OXCA-BK-079,BK,8/10/22,3,T,4,1.648,1.648,1.546,"yes, MAS altered",AV,,185,.,221,94.6,3.76,90.8,214,203,84.3,72,12.3
OXCA,2022-OXCA-BK-080,BK,8/10/22,2,T,3,1.576,1.576,1.512,"yes, MAS altered",AV,,165,.,194,61.7,3.15,58.6,206,200,75.5,68.2,7.3
OXCA,2022-OXCA-BK-081,BK,8/10/22,1,T,2,1.456,1.456,1.294,"yes, MAS altered",AV,,152,.,180,51.2,3.56,47.6,194,177,62.3,47,15.3
OXCA,2022-OXCA-BK-082,BK,8/10/22,1,T,2,1.458,1.458,1.222,"yes, MAS altered",AV,,150,.,176,39.8,2.07,37.7,194,170,62.5,41.1,21.3
OXCA,2022-OXCA-BK-083,BK,8/10/22,2,T,3,1.537,1.537,1.493,"yes, MAS altered",AV,,155,.,185,54.5,3.46,51,202,198,71,66.2,4.9
OXCA,2022-OXCA-BK-084,BK,8/10/22,1,T,2,1.272,1.272,1.173,"yes, MAS",AV,,144,.,171,35.9,1.72,34.2,175,165,45.2,37.4,7.7
