Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,
EMJA,2022-EMJA-BK-032,BK,7/7/22,4,O,4,3.739,3.620,3.427,"yes, MAS",MAS,,188,214,234,246.4,0.87,245.53,198,186,151.1,125.0,26.1,,
EMJA,2022-EMJA-BK-033,BK,7/7/22,2,O,1,3.726,2.941,0.000,"yes, MAS altered",RJ,,157,183,199,143.7,1.47,142.23,156,0,73.1,0.0,73.1,,
EMJA,2022-EMJA-BK-034,BK,7/7/22,2,O,1,3.711,3.119,0.000,"yes, MAS altered",RJ,,158,184,204,166.9,0.17,166.73,167,0,89.9,0.0,89.9,,
EMJA,2022-EMJA-BK-035,BK,7/7/22,1,T,1,3.422,2.743,0.000,"yes, MAS altered",RJ,,148,172,188,120.5,0.05,120.45,144,0,57.0,0.0,57.0,,
EMJA,2022-EMJA-BK-036,BK,7/7/22,1,T,1,3.590,3.095,0.000,"yes, MAS altered",RJ,,150,175,194,144.2,0.04,144.16,166,0,87.5,0.0,87.5,,
EMJA,2022-EMJA-BK-037,BK,7/7/22,1,O,1,3.332,2.844,0.000,"yes, MAS",RJ ,,141,165,182,115.6,0.05,115.55,150,0,64.8,0.0,64.8,,
EMJA,2022-EMJA-BK-038,BK,7/7/22,1,T,1,3.661,3.139,0.000,"yes, MAS altered",RJ,,151,175,194,136.1,0.11,135.99,168,0,92.0,0.0,92.0,,
EMJA,2022-EMJA-BK-039,BK,7/7/22,2,O,1,3.491,2.960,0.000,"yes, MAS altered",RJ,,152,178,195,159.1,18.49,140.61,157,0,74.8,0.0,74.8,,
EMJA,2022-EMJA-BK-040,BK,7/7/22,1,T,1,3.334,2.714,0.000,"yes, MAS",MAS,,151,176,193,128.9,6.78,122.12,142,0,54.8,0.0,54.8,,
EMJA,2022-EMJA-BK-041,BK,7/7/22,2,O,1,3.260,2.719,0.000,"yes, MAS altered",RJ,,151,176,193,139.7,0.11,139.59,142,0,55.2,0.0,55.2,,
EMJA,2022-EMJA-BK-042,BK,7/7/22,1,T,1,3.365,2.582,0.000,"yes, MAS altered",RJ,,137,161,177,109.3,0.09,109.21,134,0,45.8,0.0,45.8,,
EMJA,2022-EMJA-BK-043,BK,7/7/22,1,T,1,3.680,2.945,0.000,"yes, MAS altered",RJ,,157,182,202,150.8,0.06,150.74,156,0,73.4,0.0,73.4,,
EMJA,2022-EMJA-BK-044,BK,8/10/22,1,T,1,3.348,3.049,0.000,"yes, MAS altered",RJ,,150,175,187,131.0,2.46,128.54,163,0,83.0,0.0,83.0,,
EMJA,2022-EMJA-BK-045,BK,8/10/22,1,T,1,3.317,2.534,0.000,"yes, MAS altered",RJ,,145,168,184,114.4,0.06,114.34,131,0,42.8,0.0,42.8,,
EMJA,2022-EMJA-BK-046,BK,8/10/22,1,T,1,3.126,2.394,0.000,"yes, MAS altered",RJ,,137,159,176,94.1,0.06,94.04,122,0,34.7,0.0,34.7,,
EMJA,2022-EMJA-BK-047,BK,8/10/22,1,T,0,3.067,2.713,0.000,"yes, MAS altered",RJ,,133,155,172,96.8,1.43,95.37,142,0,54.8,0.0,54.8,,
EMJA,2022-EMJA-BK-048,BK,8/10/22,2,O,1,3.647,3.013,0.000,"yes, MAS altered",RJ,,160,188,207,166.0,1.29,164.71,160,0,79.6,0.0,79.6,,
EMJA,2022-EMJA-BK-049,BK,8/10/22,2,O,1,3.521,3.128,0.000,"yes, MAS altered",RJ,,152,173,189,132.4,0.43,131.97,168,0,90.9,0.0,90.9,,
EMJA,2022-EMJA-BK-050,BK,8/10/22,2,O,1,3.312,2.660,0.000,"yes, MAS altered",RJ,,158,183,200,159.4,25.17,134.23,139,0,51.0,0.0,51.0,,
EMJA,2022-EMJA-BK-051,BK,8/10/22,2,O,1,3.749,3.112,0.000,"yes, MAS altered",RJ,,159,187,205,162.7,0.76,161.94,167,0,89.2,0.0,89.2,,
EMJA,2022-EMJA-BK-052,BK,8/10/22,1,T,1,3.302,2.788,0.000,"yes, MAS altered",RJ,,141,165,183,115.3,0.48,114.82,147,0,60.4,0.0,60.4,,
EMJA,2022-EMJA-BK-053,BK,8/10/22,3,T,3,4.184,3.897,3.410,"yes, MAS altered",RJ,,185,212,236,258.6,2.47,256.13,215,185,194.7,122.9,71.8,,
