Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,
EMJA,2022-EMJA-SMK-038,SMK,7/8/22,0,O,0,2.532,0.000,0.000,"don't use, YOY",RJ,,88,108,118,28.1,0.01,28.09,,0,,,,,
EMJA,2022-EMJA-SMK-039,SMK,7/8/22,0,O,0,2.156,0.000,0.000,"don't use, YOY",RJ,,80,94,100,21.8,0.02,21.78,,0,,,,,
EMJA,2022-EMJA-SMK-040,SMK,8/11/22,1,T,1,3.280,2.834,0.000,"yes, MAS",RJ,,140,170,185,125.3,0.32,124.98,149,0,64.0,0.0,64.0,,
EMJA,2022-EMJA-SMK-041,SMK,8/11/22,2,O,1,3.713,3.263,0.000,"yes, MAS altered",RJ,,150,176,194,138.0,0.78,137.22,176,0,105.4,0.0,105.4,,
EMJA,2022-EMJA-SMK-042,SMK,8/11/22,2,O,1,3.567,2.985,0.000,"yes, MAS altered",RJ,,145,172,187,134.8,0.88,133.92,159,0,77.0,0.0,77.0,,
EMJA,2022-EMJA-SMK-043,SMK,8/11/22,2,T,1,3.437,3.045,0.000,"yes, MAS altered",RJ,,145,170,180,136.0,1.23,134.77,162,0,82.6,0.0,82.6,,
EMJA,2022-EMJA-SMK-044,SMK,8/11/22,2,O,2,3.852,3.505,2.788,"yes, MAS altered",RJ,,165,195,214,192.1,2.00,190.10,191,147,135.2,60.4,74.8,,
EMJA,2022-EMJA-SMK-045,SMK,8/11/22,2,O,1,3.695,3.014,0.000,"yes, MAS altered",RJ,,155,180,197,150.6,1.28,149.32,161,0,79.7,0.0,79.7,,
EMJA,2022-EMJA-SMK-046,SMK,8/11/22,2,O,2,3.759,3.364,2.715,"yes, MAS altered",RJ,,160,190,208,195.2,2.46,192.74,182,142,117.2,54.9,62.3,,
EMJA,2022-EMJA-SMK-047,SMK,8/11/22,1,O,1,3.733,3.082,0.000,"yes, MAS altered",RJ,,150,180,195,151.4,1.01,150.39,165,0,86.2,0.0,86.2,,
EMJA,2022-EMJA-SMK-048,SMK,8/11/22,2,T,1,3.395,2.836,0.000,"yes, MAS altered",RJ,,149,174,186,136.6,1.39,135.21,150,0,64.2,0.0,64.2,,
EMJA,2022-EMJA-SMK-049,SMK,8/11/22,1,O,1,3.530,2.880,0.000,"yes, MAS",RJ,,150,176,194,143.6,1.25,142.35,152,0,67.8,0.0,67.8,,
EMJA,2022-EMJA-SMK-050,SMK,8/11/22,2,O,1,3.668,3.033,0.000,"yes, MAS altered",RJ,,149,175,192,141.9,1.44,140.46,162,0,81.5,0.0,81.5,,
EMJA,2022-EMJA-SMK-051,SMK,8/11/22,2,O,1,3.242,2.773,0.000,"yes, MAS altered",RJ,,134,156,171,97.4,0.06,97.34,146,0,59.2,0.0,59.2,,
EMJA,2022-EMJA-SMK-052,SMK,8/11/22,3,O,3,3.992,3.781,3.280,"yes, MAS altered",RJ,,170,205,224,231.6,2.54,229.06,208,177,175.5,107.3,68.2,,
EMJA,2022-EMJA-SMK-053,SMK,8/11/22,2,O,1,3.646,3.141,0.000,"yes, MAS altered",RJ,,140,165,181,127.9,2.40,125.50,168,0,92.2,0.0,92.2,,
EMJA,2022-EMJA-SMK-054,SMK,8/11/22,1,T,1,3.659,3.049,0.000,"yes, MAS altered",RJ,,145,175,191,142.4,2.94,139.46,163,0,83.0,0.0,83.0,,
EMJA,2022-EMJA-SMK-055,SMK,8/11/22,0,O,0,2.354,0.000,0.000,"don't use, YOY",RJ,,96,119,129,41.0,0.02,40.98,,0,,,,,
EMJA,2022-EMJA-SMK-056,SMK,8/11/22,0,O,0,2.341,0.000,0.000,"don't use, YOY",RJ,,86,105,114,27.3,0.03,27.27,,0,,,,,
EMJA,2022-EMJA-SMK-057,SMK,8/11/22,0,O,0,2.368,0.000,0.000,"don't use, YOY",RJ,,90,106,116,26.8,0.07,26.73,,0,,,,,
EMJA,2022-EMJA-SMK-058,SMK,8/11/22,0,O,0,2.511,0.000,0.000,"don't use, YOY",RJ,,94,112,121,33.2,0.02,33.18,,0,,,,,
EMJA,2022-EMJA-SMK-059,SMK,8/11/22,0,O,0,2.377,0.000,0.000,"don't use, YOY",RJ,,90,109,119,30.2,0.03,30.17,,0,,,,,
EMJA,2022-EMJA-SMK-060,SMK,8/11/22,0,O,0,2.680,0.000,0.000,"don't use, YOY",RJ,,100,121,131,42.1,0.02,42.08,,0,,,,,
EMJA,2022-EMJA-SMK-061,SMK,8/11/22,0,O,0,2.490,0.000,0.000,"don't use, YOY",RJ,,95,115,124,38.0,0.01,37.99,,0,,,,,
EMJA,2022-EMJA-SMK-062,SMK,8/11/22,2,O,1,2.985,2.325,0.000,"yes, MAS altered",RJ,,130,150,163,91.0,0.65,90.35,118,0,31.2,0.0,31.2,,
EMJA,2022-EMJA-SMK-063,SMK,8/11/22,2,O,1,3.566,3.002,0.000,"yes, MAS altered",RJ,,140,170,185,129.7,2.22,127.48,160,0,78.6,0.0,78.6,,
EMJA,2022-EMJA-SMK-064,SMK,8/11/22,1,T,1,3.536,2.993,0.000,"yes, MAS",RJ,,150,179,195,152.1,0.47,151.63,159,0,77.8,0.0,77.8,,
EMJA,2022-EMJA-SMK-065,SMK,8/11/22,1,O,1,3.424,3.246,0.000,"yes, MAS",RJ,,135,165,179,105.7,0.48,105.22,175,0,103.5,0.0,103.5,,
EMJA,2022-EMJA-SMK-066,SMK,8/11/22,2,O,1,3.500,3.043,0.000,"yes, MAS",,,141,168,185,115.8,0.55,115.25,162,0,82.5,0.0,82.5,,
EMJA,2022-EMJA-SMK-067,SMK,8/11/22,1,O,1,3.280,2.873,0.000,"yes, MAS",RJ,,140,169,183,106.8,0.80,106.00,152,0,67.2,0.0,67.2,,
EMJA,2022-EMJA-SMK-068,SMK,8/11/22,2,O,1,3.440,2.821,0.000,"yes, MAS altered",RJ,,135,160,174,98.6,0.76,97.84,149,0,63.0,0.0,63.0,,
EMJA,2022-EMJA-SMK-069,SMK,8/11/22,2,O,1,3.613,3.001,0.000,"yes, MAS altered",RJ,,140,170,186,122.9,0.19,122.71,160,0,78.5,0.0,78.5,,
EMJA,2022-EMJA-SMK-070,SMK,8/11/22,1,O,1,3.438,3.030,0.000,"yes, MAS altered",RJ,,140,172,187,121.3,0.30,121.00,162,0,81.2,0.0,81.2,,
EMJA,2022-EMJA-SMK-071,SMK,8/11/22,3,O,3,3.753,3.470,3.112,"yes, MAS altered",RJ,,155,185,200,176.7,2.38,174.32,189,167,130.5,89.2,41.3,,
EMJA,2022-EMJA-SMK-072,SMK,8/11/22,2,O,2,3.742,3.297,2.541,"yes, MAS altered",RJ,,155,191,209,181.2,2.55,178.65,178,131,109.3,43.2,66.1,,
EMJA,2022-EMJA-SMK-073,SMK,8/11/22,2,T,1,3.713,3.163,0.000,"yes, MAS altered",RJ,,150,176,194,155.2,2.17,153.03,170,0,94.5,0.0,94.5,,
EMJA,2022-EMJA-SMK-074,SMK,8/11/22,2,T,1,3.569,3.262,0.000,"yes, MAS altered",RJ,,137,165,179,111.7,0.46,111.24,176,0,105.3,0.0,105.3,,
EMJA,2022-EMJA-SMK-075,SMK,8/18/22,2,O,1,3.279,2.892,0.000,"yes, MAS",MAS,,151,179,197,149.1,0.13,148.97,153,0,68.8,0.0,68.8,,
EMJA,2022-EMJA-SMK-076,SMK,8/18/22,2,O,2,3.740,3.569,2.593,"yes, MAS",MAS,,168,198,219,206.2,0.50,205.70,195,135,143.9,46.5,97.4,,
EMJA,2022-EMJA-SMK-078,SMK,8/18/22,2,O,1,3.243,2.772,0.000,"yes, MAS",MAS,,144,170,187,136.1,2.06,134.04,146,0,59.2,0.0,59.2,,
EMJA,2022-EMJA-SMK-079,SMK,8/18/22,0,O,0,2.492,0.000,0.000,"don't use, YOY",RJ,,100,119,129,39.7,0.01,39.69,,0,,,,,
EMJA,2022-EMJA-SMK-080,SMK,8/18/22,0,O,0,2.655,0.000,0.000,"don't use, YOY",RJ,,103,125,136,49.3,0.10,49.20,,0,,,,,
EMJA,2022-EMJA-SMK-081,SMK,8/18/22,0,O,0,2.182,0.000,0.000,"don't use, YOY",RJ,,89,104,116,28.9,0.01,28.89,,0,,,,,
EMJA,2022-EMJA-SMK-082,SMK,8/18/22,0,O,0,2.618,0.000,0.000,"don't use, YOY",RJ,,97,116,126,37.6,0.01,37.59,,0,,,,,
EMJA,2022-EMJA-SMK-083,SMK,8/18/22,0,O,0,2.763,0.000,0.000,"don't use, YOY",RJ,,109,127,139,45.5,0.03,45.47,,0,,,,,
EMJA,2022-EMJA-SMK-084,SMK,8/18/22,0,O,0,2.557,0.000,0.000,"don't use, YOY",RJ,,94,111,121,34.4,0.01,34.39,,0,,,,,
EMJA,2022-EMJA-SMK-085,SMK,8/18/22,2,O,1,3.759,3.124,0.000,"yes, MAS altered",RJ,,150,178,197,160.1,1.69,158.41,167,0,90.5,0.0,90.5,,
EMJA,2022-EMJA-SMK-086,SMK,8/18/22,1,T,1,3.565,2.883,0.000,"yes, MAS",RJ,,145,173,190,145.6,0.70,144.90,152,0,68.1,0.0,68.1,,
EMJA,2022-EMJA-SMK-087,SMK,8/18/22,2,T,1,3.830,3.237,0.000,"yes, MAS",RJ,,150,178,196,143.6,0.79,142.81,174,0,102.5,0.0,102.5,,
EMJA,2022-EMJA-SMK-088,SMK,8/18/22,2,O,1,3.404,2.763,0.000,"yes, MAS altered",RJ,,134,160,176,107.0,1.70,105.30,145,0,58.5,0.0,58.5,,
EMJA,2022-EMJA-SMK-089,SMK,8/18/22,2,O,1,3.807,3.135,0.000,"yes, MAS altered",RJ,,158,184,205,168.8,1.64,167.16,168,0,91.6,0.0,91.6,,
EMJA,2022-EMJA-SMK-090,SMK,8/18/22,2,O,1,3.354,2.744,0.000,"yes, MAS",MAS,,145,170,187,125.6,0.41,125.19,144,0,57.0,0.0,57.0,,
EMJA,2022-EMJA-SMK-091,SMK,8/31/22,2,O,1,3.425,2.837,0.000,"yes, MAS altered",RJ,,142,167,185,130.5,1.66,128.84,150,0,64.3,0.0,64.3,,
EMJA,2022-EMJA-SMK-092,SMK,8/31/22,2,O,1,3.492,2.683,0.000,"yes, MAS altered",RJ,,144,178,196,153.2,2.54,150.66,140,0,52.6,0.0,52.6,,
EMJA,2022-EMJA-SMK-093,SMK,8/31/22,2,O,1,3.640,3.042,0.000,"yes, MAS altered",RJ,,153,182,201,160.5,2.99,157.51,162,0,82.4,0.0,82.4,,
EMJA,2022-EMJA-SMK-094,SMK,8/31/22,1,T,1,3.746,3.152,0.000,"yes, MAS altered",RJ,,150,177,196,153.0,2.55,150.45,169,0,93.3,0.0,93.3,,
EMJA,2022-EMJA-SMK-095,SMK,8/31/22,2,O,1,3.631,2.935,0.000,"yes, MAS altered",RJ,,149,176,193,149.8,2.46,147.34,156,0,72.5,0.0,72.5,,
EMJA,2022-EMJA-SMK-096,SMK,8/31/22,3,O,2,3.877,3.486,2.752,"yes, MAS altered",RJ,,166,194,215,180.3,2.70,177.60,190,144,132.6,57.6,75.0,,
EMJA,2022-EMJA-SMK-097,SMK,8/31/22,2,O,1,3.192,2.513,0.000,"yes, MAS altered",RJ,,132,154,172,100.4,1.78,98.62,130,0,41.5,0.0,41.5,,
EMJA,2022-EMJA-SMK-098,SMK,8/31/22,2,O,1,3.728,3.097,0.000,"yes, MAS altered",RJ,,152,182,201,165.2,2.50,162.70,166,0,87.7,0.0,87.7,,
EMJA,2022-EMJA-SMK-099,SMK,9/15/22,3,O,2,3.776,3.293,2.739,"yes, MAS altered",RJ,,167,196,216,209.9,3.43,206.47,178,144,108.8,56.7,52.1,,
EMJA,2022-EMJA-SMK-100,SMK,9/15/22,2,O,1,3.752,2.970,0.000,"yes, MAS altered",RJ ,,147,174,193,138.9,0.20,138.70,158,0,75.7,0.0,75.7,,
EMJA,2022-EMJA-SMK-101,SMK,9/15/22,2,O,1,3.576,2.919,0.000,"yes, MAS",RJ ,,147,173,193,143.3,1.69,141.61,155,0,71.1,0.0,71.1,,
EMJA,2022-EMJA-SMK-102,SMK,9/15/22,2,O,1,3.623,3.061,0.000,"yes, MAS altered",RJ,,153,183,199,159.0,2.12,156.88,163,0,84.2,0.0,84.2,,
EMJA,2022-EMJA-SMK-103,SMK,9/15/22,0,T,0,2.882,0.000,0.000,"don't use, YOY",MAS,,107,130,140,57.3,0.06,57.24,,0,,,,,
EMJA,2022-EMJA-SMK-104,SMK,9/15/22,2,O,1,3.278,2.655,0.000,"yes, MAS altered",RJ,,135,157,178,110.9,1.46,109.44,138,0,50.7,0.0,50.7,,
EMJA,2022-EMJA-SMK-105,SMK,9/15/22,0,O,0,2.826,0.000,0.000,"don't use, YOY",RJ,,103,123,134,49.7,0.04,49.66,,0,,,,,
EMJA,2022-EMJA-SMK-106,SMK,9/15/22,2,O,1,3.540,3.025,0.000,"yes, MAS altered",RJ,,151,180,198,164.9,0.32,164.58,161,0,80.7,0.0,80.7,,
EMJA,2022-EMJA-SMK-107,SMK,9/15/22,0,O,0,2.702,0.000,0.000,"don't use, YOY",RJ,,109,132,144,59.3,0.23,59.07,,0,,,,,
EMJA,2022-EMJA-SMK-108,SMK,9/15/22,0,O,0,2.904,0.000,0.000,"don't use, YOY",RJ,,108,129,143,56.3,0.20,56.10,,0,,,,,
EMJA,2022-EMJA-SMK-109,SMK,9/15/22,5,O,4,4.180,3.929,3.646,"yes, MAS altered",RJ,,190,223,242,277.4,2.70,274.70,217,199,200.2,154.9,45.3,,
EMJA,2022-EMJA-SMK-110,SMK,9/15/22,0,O,0,2.681,0.000,0.000,"don't use, YOY",RJ,,104,126,137,54.7,0.10,54.60,,0,,,,,
EMJA,2022-EMJA-SMK-111,SMK,9/29/22,4,O,4,3.913,3.836,3.416,"don't use, poor structure",RJ,,182,212,232,230.1,0.45,229.65,,,,,,,
EMJA,2022-EMJA-SMK-112,SMK,9/29/22,2,O,1,3.481,2.930,0.000,"yes, MAS altered",RJ,,147,173,192,135.8,2.02,133.78,155,0,72.1,0.0,72.1,,
EMJA,2022-EMJA-SMK-113,SMK,9/29/22,2,O,1,3.769,2.907,0.000,"yes, MAS altered",RJ,,154,180,199,159.9,0.22,159.68,154,0,70.1,0.0,70.1,,
EMJA,2022-EMJA-SMK-114,SMK,9/29/22,2,O,1,3.536,3.034,0.000,"yes, MAS altered",RJ,,150,175,194,148.5,1.51,146.99,162,0,81.6,0.0,81.6,,
EMJA,2022-EMJA-SMK-115,SMK,9/29/22,0,T,0,2.867,0.000,0.000,"don't use, YOY",RJ,,110,131,144,55.6,0.52,55.08,,0,,,,,
EMJA,2022-EMJA-WNR-001,WNR,6/9/22,1,O,1,3.337,2.884,0.000,"yes, MAS",MAS,,130,154,168,99.0,,99.00,153,0,68.2,0.0,68.2,,
EMJA,2022-EMJA-WNR-002,WNR,6/9/22,1,O,1,3.261,2.815,0.000,"yes, MAS",RJ,,132,159,174,105.0,0.06,104.94,148,0,62.5,0.0,62.5,,
EMJA,2022-EMJA-WNR-003,WNR,6/9/22,2,O,2,3.583,3.286,2.541,"yes, MAS altered",RJ,,151,181,197,143.3,0.46,142.84,177,131,108.0,43.2,64.8,,
EMJA,2022-EMJA-WNR-004,WNR,6/9/22,1,O,1,3.482,3.083,0.000,"yes, MAS",RJ,,139,165,180,115.4,0.10,115.30,165,0,86.3,0.0,86.3,,
EMJA,2022-EMJA-WNR-005,WNR,6/9/22,1,O,1,3.170,2.832,0.000,"yes, MAS",RJ,,119,141,157,80.4,0.04,80.36,149,0,63.9,0.0,63.9,,
EMJA,2022-EMJA-WNR-006,WNR,6/9/22,1,O,1,3.154,2.900,0.000,"yes, MAS",RJ,,127,152,168,93.5,0.05,93.45,154,0,69.5,0.0,69.5,,
EMJA,2022-EMJA-WNR-007,WNR,6/9/22,4,O,4,3.865,3.797,3.580,"yes, MAS altered",RJ,,173,200,222,234.8,0.08,234.72,209,195,178.1,145.4,32.6,,
EMJA,2022-EMJA-WNR-008,WNR,6/9/22,1,O,1,3.287,2.839,0.000,"yes, MAS",RJ,,130,158,175,108.9,0.06,108.84,150,0,64.4,0.0,64.4,,
EMJA,2022-EMJA-WNR-009,WNR,6/23/22,1,O,1,2.992,2.328,0.000,"yes, MAS",RJ,,118,140,156,75.2,0.02,75.18,118,0,31.3,0.0,31.3,,
EMJA,2022-EMJA-WNR-010,WNR,6/23/22,3,O,3,4.002,3.778,3.400,"yes, MAS",RJ,,169,200,217,197.1,0.06,197.04,207,184,175.0,121.6,53.4,,
EMJA,2022-EMJA-WNR-011,WNR,6/23/22,1,O,1,3.354,2.981,0.000,"yes, MAS",RJ,,131,156,173,96.0,0.05,95.95,159,0,76.7,0.0,76.7,,
EMJA,2022-EMJA-WNR-012,WNR,6/23/22,1,O,1,3.527,3.086,0.000,"yes, MAS",RJ,,136,163,180,107.9,0.02,107.88,165,0,86.6,0.0,86.6,,
EMJA,2022-EMJA-WNR-013,WNR,6/23/22,1,O,1,3.199,2.738,0.000,"yes, MAS",RJ,,128,154,168,90.3,0.05,90.25,144,0,56.6,0.0,56.6,,
EMJA,2022-EMJA-WNR-014,WNR,6/23/22,1,O,1,3.552,3.059,0.000,"yes, MAS",RJ,,140,165,180,105.1,,105.10,163,0,84.0,0.0,84.0,,
EMJA,2022-EMJA-WNR-015,WNR,6/23/22,1,O,1,3.341,3.014,0.000,"yes, MAS",RJ,,135,159,177,109.9,0.05,109.85,161,0,79.7,0.0,79.7,,
EMJA,2022-EMJA-WNR-016,WNR,6/23/22,1,O,1,3.476,3.141,0.000,"yes, MAS altered",RJ,,142,167,184,121.9,0.02,121.88,168,0,92.2,0.0,92.2,,
EMJA,2022-EMJA-WNR-017,WNR,6/23/22,4,O,4,3.949,3.803,3.510,"yes, MAS altered",RJ,,165,193,214,190.8,0.46,190.34,209,191,179.0,135.8,43.2,,
EMJA,2022-EMJA-WNR-018,WNR,6/23/22,1,O,1,3.495,3.054,0.000,"yes, MAS",RJ,,148,174,193,133.6,0.02,133.58,163,0,83.5,0.0,83.5,,
EMJA,2022-EMJA-WNR-019,WNR,6/23/22,1,O,1,3.329,2.773,0.000,"yes, MAS",RJ,,147,173,191,127.8,0.04,127.76,146,0,59.2,0.0,59.2,,
EMJA,2022-EMJA-WNR-020,WNR,6/23/22,1,O,1,3.403,3.082,0.000,"yes, MAS",RJ,,149,73,189,126.2,0.05,126.15,165,0,86.2,0.0,86.2,,
EMJA,2022-EMJA-WNR-021,WNR,6/23/22,4,O,4,3.961,3.870,3.713,"yes, MAS altered",RJ,,176,207,227,222.5,0.59,221.91,213,203,190.1,164.9,25.2,,
EMJA,2022-EMJA-WNR-022,WNR,6/23/22,1,O,1,3.196,2.859,0.000,"yes, MAS",RJ,,131,159,174,97.9,0.05,97.85,151,0,66.1,0.0,66.1,,
EMJA,2022-EMJA-WNR-023,WNR,6/23/22,1,O,1,3.562,3.093,0.000,"yes, MAS",RJ,,135,164,181,119.3,0.06,119.24,165,0,87.3,0.0,87.3,,
EMJA,2022-EMJA-WNR-024,WNR,6/23/22,2,O,2,3.652,3.549,3.000,"yes, MAS altered",RJ,,158,184,204,165.8,0.54,165.26,193,160,141.1,78.4,62.7,,
EMJA,2022-EMJA-WNR-025,WNR,6/23/22,1,O,1,3.492,3.053,0.000,"yes, MAS",RJ,,145,172,192,141.7,0.04,141.66,163,0,83.4,0.0,83.4,,
EMJA,2022-EMJA-WNR-026,WNR,6/23/22,1,O,1,2.924,2.826,0.000,"yes, MAS altered",RJ,,125,152,168,93.9,0.06,93.84,149,0,63.4,0.0,63.4,,
EMJA,2022-EMJA-WNR-027,WNR,6/23/22,1,O,1,3.391,3.242,0.000,"yes, MAS altered",RJ,,144,169,187,114.9,0.51,114.39,175,0,103.0,0.0,103.0,,
EMJA,2022-EMJA-WNR-028,WNR,7/6/22,1,O,1,3.490,2.981,0.000,"yes, MAS",RJ,,138,160,179,113.2,0.07,113.13,159,0,76.7,0.0,76.7,,
EMJA,2022-EMJA-WNR-029,WNR,7/6/22,1,T,2,3.586,3.586,2.907,"yes, MAS altered",RJ,,158,184,202,158.7,0.16,158.54,196,154,146.3,70.1,76.2,,
EMJA,2022-EMJA-WNR-030,WNR,7/6/22,1,O,1,3.381,2.813,0.000,"yes, MAS",RJ,,142,165,174,113.1,4.67,108.43,148,0,62.4,0.0,62.4,,
EMJA,2022-EMJA-WNR-031,WNR,7/6/22,1,O,1,3.436,2.922,0.000,"yes, MAS",RJ,,149,173,188,124.3,0.07,124.23,155,0,71.4,0.0,71.4,,
EMJA,2022-EMJA-WNR-032,WNR,7/6/22,1,O,1,3.492,3.077,0.000,"yes, MAS",RJ,,139,161,180,108.9,0.15,108.75,164,0,85.7,0.0,85.7,,
EMJA,2022-EMJA-WNR-033,WNR,7/6/22,1,T,1,3.484,3.043,0.000,"yes, MAS",RJ,,149,172,190,124.9,0.05,124.85,162,0,82.5,0.0,82.5,,
EMJA,2022-EMJA-WNR-034,WNR,7/6/22,2,O,1,3.397,2.841,0.000,"yes, MAS altered",RJ,,138,160,170,107.8,0.38,107.42,150,0,64.6,0.0,64.6,,
EMJA,2022-EMJA-WNR-035,WNR,7/6/22,1,O,1,3.606,3.178,0.000,"yes, MAS",RJ,,149,173,190,139.9,0.09,139.81,171,0,96.1,0.0,96.1,,
EMJA,2022-EMJA-WNR-036,WNR,7/6/22,2,O,2,3.832,3.588,2.666,"yes, MAS altered",RJ,,161,188,207,166.9,0.10,166.80,196,139,146.6,51.4,95.1,,
EMJA,2022-EMJA-WNR-037,WNR,7/6/22,2,O,1,3.555,3.182,0.000,"yes, MAS altered",RJ,,151,176,194,132.0,0.37,131.63,171,0,96.5,0.0,96.5,,
EMJA,2022-EMJA-WNR-038,WNR,7/6/22,2,O,2,3.512,3.171,0.000,"yes, MAS altered",RJ,,146,169,186,122.9,0.09,122.81,170,0,95.3,0.0,95.3,,
EMJA,2022-EMJA-WNR-039,WNR,7/6/22,3,O,3,4.048,3.849,3.477,"yes, MAS altered",RJ,,195,222,240,276.4,0.59,275.81,212,189,186.6,131.5,55.1,,
EMJA,2022-EMJA-WNR-040,WNR,7/6/22,3,O,2,3.896,3.476,2.729,"yes, MAS altered",RJ,,166,193,214,178.0,0.45,177.55,189,143,131.3,55.9,75.4,,
EMJA,2022-EMJA-WNR-041,WNR,8/9/22,2,O,1,3.666,3.037,0.000,"yes, MAS altered",RJ,,149,173,193,142.6,1.00,141.60,162,0,81.9,0.0,81.9,,
EMJA,2022-EMJA-WNR-042,WNR,8/9/22,2,O,2,3.754,3.403,2.716,"yes, MAS",RJ,,167,195,218,209.2,2.78,206.42,184,142,122.0,55.0,67.0,,
EMJA,2022-EMJA-WNR-043,WNR,8/9/22,1,T,1,3.556,3.088,0.000,"yes, MAS",RJ,,148,172,190,143.7,0.66,143.04,165,0,86.8,0.0,86.8,,
EMJA,2022-EMJA-WNR-044,WNR,8/16/22,1,T,1,3.544,3.150,0.000,"yes, MAS",RJ,,148,175,192,133.3,0.76,132.54,169,0,93.1,0.0,93.1,,
EMJA,2022-EMJA-WNR-045,WNR,8/16/22,1,T,1,3.535,3.000,0.000,"yes, MAS altered",RJ,,148,172,192,132.8,1.18,131.62,160,0,78.4,0.0,78.4,,
EMJA,2022-EMJA-WNR-046,WNR,8/16/22,2,O,1,3.504,3.069,0.000,"yes, MAS altered",RJ,,153,176,193,132.8,0.29,132.51,164,0,85.0,0.0,85.0,,
EMJA,2022-EMJA-WNR-047,WNR,8/16/22,1,O,1,3.361,2.801,0.000,"yes, MAS",RJ,,148,172,190,130.8,0.95,129.85,147,0,61.4,0.0,61.4,,
EMJA,2022-EMJA-WNR-048,WNR,8/16/22,2,O,1,3.398,3.328,3.020,"yes, MAS altered",RJ,,145,172,187,121.5,0.55,120.95,180,161,112.9,80.3,32.6,,
EMJA,2022-EMJA-WNR-049,WNR,8/16/22,2,O,1,3.226,3.107,2.712,"yes, MAS altered",RJ,,144,168,183,126.4,0.07,126.33,166,142,88.7,54.7,34.0,,
EMJA,2022-EMJA-WNR-050,WNR,8/16/22,4,O,4,4.380,4.136,3.878,"yes, MAS altered",RJ,,184,207,231,244.4,0.50,243.90,229,214,238.4,191.4,47.0,,
EMJA,2022-EMJA-WNR-051,WNR,8/17/22,2,O,1,3.557,2.976,0.000,"yes, MAS altered",RJ,,144,170,188,129.8,0.39,129.41,158,0,76.2,0.0,76.2,,
EMJA,2022-EMJA-WNR-052,WNR,8/17/22,1,O,1,3.459,3.084,0.000,"yes, MAS",RJ,,147,173,189,140.0,2.85,137.15,165,0,86.4,0.0,86.4,,
EMJA,2022-EMJA-WNR-053,WNR,8/17/22,1,O,1,3.542,3.024,0.000,"yes, MAS",RJ,,145,170,187,138.9,2.02,136.88,161,0,80.6,0.0,80.6,,
EMJA,2022-EMJA-WNR-054,WNR,8/17/22,3,O,3,4.268,3.924,3.458,"yes, MAS altered",RJ,,179,208,227,253.4,4.74,248.66,216,188,199.3,129.0,70.3,,
EMJA,2022-EMJA-WNR-055,WNR,8/17/22,2,O,1,3.656,3.474,3.007,"yes, MAS altered",RJ,,148,174,190,137.9,1.93,135.97,189,160,131.1,79.1,52.0,,
EMJA,2022-EMJA-WNR-056,WNR,8/17/22,1,O,1,3.454,3.006,0.000,"yes, MAS",RJ,,150,176,195,135.5,0.71,134.79,160,0,79.0,0.0,79.0,,
EMJA,2022-EMJA-WNR-057,WNR,8/17/22,4,O,4,4.133,3.925,3.647,"yes, MAS",RJ,,193,224,244,330.6,7.30,323.30,216,199,199.5,155.0,44.4,,
EMJA,2022-EMJA-WNR-058,WNR,8/17/22,4,O,4,4.248,4.021,3.743,"yes, MAS",RJ,,181,212,233,274.7,4.14,270.56,222,205,216.6,169.5,47.1,,
EMJA,2022-EMJA-WNR-059,WNR,8/17/22,2,T,1,3.684,3.253,0.000,"yes, MAS altered",RJ,,151,176,194,152.1,0.22,151.88,175,0,104.2,0.0,104.2,,
EMJA,2022-EMJA-WNR-060,WNR,8/17/22,2,O,1,3.458,2.924,0.000,"yes, MAS altered",RJ,,138,165,183,126.8,0.10,126.70,155,0,71.6,0.0,71.6,,
EMJA,2022-EMJA-WNR-061,WNR,8/17/22,1,O,1,3.378,2.761,0.000,"yes, MAS",RJ,,143,168,186,132.2,2.04,130.16,145,0,58.3,0.0,58.3,,
EMJA,2022-EMJA-WNR-062,WNR,8/17/22,2,O,1,3.460,2.927,0.000,"yes, MAS altered",RJ,,137,163,180,119.1,1.45,117.65,155,0,71.8,0.0,71.8,,
EMJA,2022-EMJA-WNR-063,WNR,8/17/22,1,T,1,3.410,3.037,0.000,"yes, MAS",RJ,,149,175,191,128.5,0.47,128.03,162,0,81.9,0.0,81.9,,
EMJA,2022-EMJA-WNR-064,WNR,8/17/22,3,O,3,3.905,3.555,3.077,"yes, MAS altered",RJ,,177,205,227,251.6,4.79,246.81,194,164,142.0,85.7,56.2,,
EMJA,2022-EMJA-WNR-065,WNR,8/17/22,2,O,2,3.675,3.300,2.524,"yes, MAS altered",RJ,,159,188,206,174.8,3.18,171.62,178,130,109.6,42.2,67.4,,
EMJA,2022-EMJA-WNR-066,WNR,8/17/22,0,O,0,2.538,0.000,0.000,"don't use, YOY",RJ,,100,120,130,38.7,0.05,38.65,,0,,,,,
EMJA,2022-EMJA-WNR-067,WNR,8/17/22,1,O,1,3.851,3.354,0.000,"yes, MAS altered",RJ,,153,178,197,158.3,2.42,155.88,181,0,116.0,0.0,116.0,,
