Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-109,BK,8/10/22,6,T,7,4.350,4.350,4.199,"yes, MAS altered",KR,MAS,220,263,274,266.6,16.12,250.5,268,258,228.4,202.6,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-110,BK,8/10/22,7,T,8,4.821,4.821,4.626,"yes, MAS altered",KR,MAS,235,282,293,266.8,13.10,253.7,299,286,322.9,281.0,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-111,BK,8/10/22,9,T,10,5.260,5.260,5.031,"yes, MAS altered",KR,MAS,250,301,317,374.9,18.28,356.6,329,314,432.1,372.4,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-112,BK,8/10/22,3,T,4,4.121,4.121,3.915,"yes, MAS altered",KR,MAS,213,256,266,205.1,7.91,197.2,253,239,190.1,159.6,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-113,BK,8/17/22,3,T,4,4.156,4.156,3.881,"yes, MAS altered",KR,MAS,224,250,260,221.4,7.18,214.2,255,236,195.6,154.9,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-114,BK,8/17/22,3,O,3,4.571,,,"don't use, poor structure",KR,MAS,220,267,280,232.9,4.87,228.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-115,BK,8/17/22,7,T,8,4.865,4.865,4.655,"yes, MAS altered",KR,MAS,250,299,312,386.7,8.68,378.0,302,288,332.9,287.0,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-116,BK,8/17/22,5,T,6,5.185,5.185,4.988,"yes, MAS altered",KR,MAS,264,318,330,412.0,15.17,396.8,324,311,411.9,361.9,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-117,BK,8/17/22,8,T,9,5.063,5.063,4.927,"yes, MAS altered",KR,MAS,245,294,306,337.7,17.20,320.5,316,307,380.4,347.3,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-118,BK,8/17/22,6,O,6,4.911,4.814,4.403,"yes, MAS altered",KR,MAS,240,287,298,226.5,9.17,217.3,299,271,321.3,237.9,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-119,BK,8/17/22,,,,,,,"don't use, poor structure",KR,MAS,253,303,315,390.1,8.70,381.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-120,BK,8/17/22,7,O,7,5.260,5.101,4.773,"yes, MAS altered",KR,MAS,249,297,313,390.2,12.77,377.4,318,296,390.0,312.2,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-121,BK,8/17/22,7,O,7,4.960,4.794,4.375,"yes, MAS altered",KR,MAS,253,305,315,370.6,5.93,364.7,298,270,316.8,232.8,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-122,BK,8/17/22,7,T,8,5.042,5.042,4.849,"yes, MAS altered",KR,MAS,259,312,323,449.5,11.42,438.1,314,301,375.2,329.2,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-123,BK,8/17/22,5,O,5,5.152,5.091,4.490,"yes, MAS altered",KR,MAS,250,298,312,376.5,11.40,365.1,318,277,387.5,254.2,133.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-124,BK,8/17/22,5,O,5,4.379,4.289,3.850,"yes, MAS altered",KR,MAS,230,277,293,313.5,9.79,303.7,264,234,217.7,150.7,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-125,BK,8/17/22,,,,,,,,KR,MAS,293,352,373,641.1,34.45,606.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-126,BK,8/17/22,,,,,,,,KR,MAS,269,322,337,480.0,16.49,463.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-127,BK,8/17/22,,,,,,,,KR,MAS,240,290,300,327.0,6.39,320.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-128,BK,8/17/22,,,,,,,,KR,MAS,225,272,281,278.5,8.28,270.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-129,BK,8/17/22,,,,,,,,KR,MAS,284,339,352,604.8,44.05,560.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-130,BK,8/17/22,,,,,,,,KR,MAS,270,324,336,534.7,15.19,519.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-131,BK,8/17/22,,,,,,,,KR,MAS,269,316,331,458.7,27.57,431.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-132,BK,8/17/22,,,,,,,,KR,MAS,279,331,342,481.2,17.24,464.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-133,BK,8/17/22,,,,,,,,KR,MAS,250,302,314,375.3,13.90,361.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-134,BK,8/17/22,,,,,,,,KR,MAS,259,307,320,404.0,13.82,390.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-135,BK,8/17/22,,,,,,,,KR,MAS,250,308,317,398.5,17.83,380.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-136,BK,8/17/22,,,,,,,,KR,MAS,245,294,305,381.2,15.26,365.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-137,BK,8/17/22,,,,,,,,KR,MAS,269,325,338,518.2,16.30,501.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-138,BK,8/17/22,,,,,,,,KR,MAS,327,397,401,924.8,45.18,879.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-139,BK,8/17/22,,,,,,,,KR,MAS,290,349,365,704.1,14.91,689.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-140,BK,8/17/22,,,,,,,,KR,MAS,260,318,330,428.7,13.78,414.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-141,BK,8/17/22,,,,,,,,KR,MAS,285,339,350,512.5,18.71,493.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-142,BK,8/17/22,,,,,,,,KR,MAS,274,329,340,529.6,17.48,512.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-143,BK,8/17/22,,,,,,,,KR,MAS,250,300,315,346.2,14.87,331.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-144,BK,8/30/22,,,,,,,,KR,MAS,235,283,292,267.3,0.95,266.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-145,BK,8/30/22,,,,,,,,KR,MAS,286,339,346,544.2,11.89,532.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-146,BK,8/30/22,,,,,,,,KR,MAS,227,275,284,269.9,10.07,259.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-147,BK,8/30/22,,,,,,,,KR,MAS,174,210,217,105.1,1.09,104.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-148,BK,8/30/22,,,,,,,,KR,MAS,205,247,259,180.6,2.19,178.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-149,BK,9/13/22,,,,,,,,KR,MAS,254,305,315,340.4,7.22,333.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-150,BK,9/13/22,,,,,,,,KR,MAS,216,259,269,186.2,2.05,184.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-151,BK,9/13/22,,,,,,,,KR,MAS,166,201,207,90.0,0.20,89.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-152,BK,9/13/22,,,,,,,,KR,MAS,226,273,283,252.6,0.96,251.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-153,BK,9/13/22,,,,,,,,KR,MAS,204,245,255,183.2,2.39,180.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-154,BK,9/13/22,,,,,,,,KR,MAS,222,268,280,245.8,2.51,243.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-155,BK,9/13/22,,,,,,,,KR,MAS,226,272,283,248.6,0.83,247.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-156,BK,9/27/22,,,,,,,,KR,MAS,232,271,284,249.2,1.19,248.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-157,BK,9/27/22,,,,,,,,KR,MAS,175,212,219,111.0,0.77,110.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-158,BK,9/27/22,,,,,,,,KR,MAS,204,245,256,190.4,1.03,189.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-159,BK,9/27/22,,,,,,,,KR,MAS,257,303,317,362.6,0.78,361.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-160,BK,9/27/22,,,,,,,,KR,MAS,267,315,327,467.3,6.31,461.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-161,BK,9/27/22,,,,,,,,KR,MAS,250,294,309,356.9,0.99,355.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-162,BK,9/27/22,,,,,,,,KR,MAS,258,310,325,358.5,2.35,356.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-163,BK,9/27/22,,,,,,,,KR,MAS,277,327,343,497.3,2.41,494.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-164,BK,9/27/22,,,,,,,,KR,MAS,280,333,346,518.1,3.68,514.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-165,BK,9/27/22,,,,,,,,KR,MAS,233,281,292,285.5,1.47,284.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-166,BK,9/27/22,,,,,,,,KR,MAS,248,296,306,383.7,1.19,382.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-167,BK,9/27/22,,,,,,,,KR,MAS,241,286,296,337.8,1.87,335.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-168,BK,9/27/22,,,,,,,,KR,MAS,247,293,306,320.3,6.78,313.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-001,SMK,5/26/22,6,T,7,4.714,4.714,4.497,"yes, MAS altered",KR,MAS,224,271,280,281.9,8.62,273.3,292,278,299.4,255.5,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-002,SMK,5/26/22,5,T,6,4.659,4.659,4.216,"yes, MAS altered",KR,MAS,234,281,291,321.0,14.63,306.4,289,259,287.8,205.4,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-003,SMK,5/26/22,6,T,7,4.745,4.745,4.318,"yes, MAS altered",KR,MAS,236,280,290,329.1,18.49,310.6,294,266,306.1,222.7,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-004,SMK,5/26/22,4,T,5,4.552,4.552,4.099,"yes, MAS altered",KR,MAS,226,272,282,260.9,8.36,252.5,281,251,266.2,186.6,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-005,SMK,5/26/22,5,T,6,4.963,4.963,4.613,"yes, MAS altered",KR,MAS,260,309,324,407.9,10.55,397.4,309,286,355.8,278.4,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-006,SMK,5/26/22,7,T,8,5.194,5.194,4.797,"yes, MAS altered",KR,MAS,258,308,324,427.1,14.12,413.0,325,298,414.3,317.5,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-007,SMK,5/26/22,7,T,8,5.442,5.442,5.085,"yes, MAS altered",KR,MAS,283,339,349,580.0,18.07,561.9,341,317,483.9,386.0,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-008,SMK,5/26/22,5,T,6,4.716,4.716,4.250,"yes, MAS altered",KR,MAS,243,283,297,327.4,14.22,313.2,292,261,299.9,211.1,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-009,SMK,5/26/22,7,T,8,4.739,4.739,4.526,"yes, MAS altered",KR,MAS,245,296,306,381.3,26.76,354.5,294,280,304.8,261.1,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-010,SMK,5/26/22,6,T,7,4.903,4.903,4.567,"yes, MAS altered",KR,MAS,240,287,296,383.1,20.92,362.2,305,282,341.6,269.1,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-011,SMK,5/26/22,5,T,6,5.014,5.014,4.612,"yes, MAS altered",KR,MAS,280,335,350,575.9,12.99,562.9,312,285,368.2,278.2,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-012,SMK,5/26/22,5,T,6,4.915,4.915,4.439,"yes, MAS altered",KR,MAS,271,325,336,472.6,15.46,457.1,306,274,344.5,244.5,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-013,SMK,5/26/22,6,T,7,5.021,5.021,4.795,"yes, MAS altered",KR,MAS,234,280,290,323.9,10.53,313.4,313,298,370.0,317.1,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-014,SMK,5/26/22,4,T,5,4.626,4.626,4.160,"yes, MAS altered",KR,MAS,224,268,277,303.4,24.44,279.0,286,255,281.0,196.3,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-015,SMK,5/26/22,5,T,6,4.583,4.583,4.382,"yes, MAS altered",KR,MAS,225,268,277,263.6,9.10,254.5,284,270,272.3,234.1,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-016,SMK,5/26/22,,,,4.433,,,"don't use, poor structure",KR,MAS,210,253,265,235.1,7.11,228.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-017,SMK,5/26/22,3,O,3,4.559,4.393,3.825,"yes, MAS altered",KR,MAS,216,260,270,298.7,19.03,279.7,271,233,236.1,147.4,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-018,SMK,5/26/22,10,T,11,5.677,5.677,5.504,"yes, MAS altered",KR,MAS,305,360,381,640.3,17.61,622.7,357,345,556.8,502.4,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-019,SMK,5/26/22,5,T,6,5.007,5.007,4.509,"yes, MAS altered",KR,MAS,254,305,319,397.1,11.86,385.2,312,279,366.5,257.8,108.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-020,SMK,5/26/22,4,O,4,4.119,3.925,3.640,"yes, MAS altered",KR,MAS,217,259,264,266.4,13.42,253.0,239,220,161.0,124.3,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-021,SMK,5/26/22,,,,,,,,KR,MAS,210,255,263,248.5,9.68,238.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-022,SMK,5/26/22,,,,,,,,KR,MAS,210,254,264,240.2,3.36,236.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-023,SMK,5/26/22,,,,,,,,KR,MAS,251,301,315,419.8,15.21,404.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-024,SMK,5/26/22,,,,,,,,KR,MAS,270,320,336,459.9,8.56,451.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-025,SMK,6/7/22,4,O,4,4.534,4.454,4.023,"yes, MAS altered",KR,MAS,205,252,260,238.3,16.17,222.1,275,246,247.3,175.1,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-026,SMK,6/7/22,6,T,7,4.599,4.599,4.237,"yes, MAS altered",KR,MAS,212,261,272,265.5,13.22,252.3,285,260,275.6,208.9,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-027,SMK,6/7/22,6,O,6,4.386,4.303,4.065,"yes, MAS altered",KR,MAS,228,275,283,271.6,13.16,258.4,265,249,220.1,181.4,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-028,SMK,6/7/22,4,T,5,4.378,4.378,3.991,"yes, MAS altered",KR,MAS,225,271,282,260.8,15.39,245.4,270,244,233.4,170.4,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-029,SMK,6/7/22,3,T,4,4.369,4.369,3.778,"yes, MAS altered",KR,MAS,206,249,258,219.7,6.91,212.8,269,230,231.7,141.3,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-030,SMK,6/7/22,4,T,5,4.438,4.438,3.930,"yes, MAS altered",KR,MAS,218,265,275,273.9,14.54,259.4,274,240,244.4,161.7,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-031,SMK,6/23/22,4,T,5,4.484,4.484,4.126,"yes, MAS altered",KR,MAS,202,247,255,224.9,20.34,204.6,277,253,253.0,190.9,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-032,SMK,6/23/22,,,,,,,,KR,MAS,291,353,368,608.5,18.03,590.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-033,SMK,6/23/22,4,T,5,4.018,4.018,3.781,"yes, MAS altered",KR,MAS,201,243,255,205.0,14.07,190.9,246,230,174.4,141.7,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-034,SMK,6/23/22,5,T,6,5.201,5.201,4.895,"yes, MAS altered",KR,MAS,239,289,301,353.6,12.68,340.9,325,304,416.1,339.8,76.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-035,SMK,6/23/22,5,O,5,4.401,4.296,4.010,"yes, MAS altered",KR,MAS,200,242,250,206.8,14.02,192.8,264,245,218.9,173.2,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-036,SMK,6/23/22,,,,,,,,KR,MAS,258,312,322,446.4,14.94,431.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-037,SMK,6/23/22,4,O,4,4.339,4.232,3.906,"yes, MAS altered",KR,MAS,200,244,251,182.3,10.64,171.7,260,238,208.0,158.3,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-038,SMK,6/23/22,4,O,4,4.097,4.026,3.506,"yes, MAS altered",KR,MAS,210,257,262,247.5,7.75,239.8,246,211,175.6,109.2,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-039,SMK,6/23/22,6,T,7,4.664,4.664,4.507,"yes, MAS altered",KR,MAS,216,263,272,248.1,10.98,237.1,289,278,288.9,257.4,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-040,SMK,6/23/22,6,O,6,4.875,4.777,4.458,"yes, MAS altered",KR,MAS,221,267,275,262.6,11.48,251.1,297,275,313.1,248.1,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-041,SMK,6/23/22,6,T,7,4.700,4.700,4.419,"yes, MAS altered",KR,MAS,227,274,286,286.8,12.70,274.1,291,273,296.5,240.8,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-042,SMK,6/23/22,7,O,7,,,,"don't use, deformed and broken",KR,MAS,255,309,317,424.2,18.40,405.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-043,SMK,6/23/22,4,O,4,4.805,4.701,4.555,"yes, MAS altered",KR,MAS,222,271,277,271.2,11.87,259.3,291,282,296.7,266.8,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-044,SMK,6/23/22,4,T,5,4.571,4.571,4.311,"yes, MAS altered",KR,MAS,225,273,280,267.6,11.54,256.1,283,265,269.9,221.5,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-045,SMK,6/23/22,8,T,9,5.055,5.055,4.862,"yes, MAS altered",KR,MAS,275,330,343,520.0,18.69,501.3,315,302,378.4,332.2,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-046,SMK,6/23/22,4,T,5,4.424,4.424,4.098,"yes, MAS altered",KR,MAS,220,264,278,259.8,10.44,249.4,273,251,241.8,186.5,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-047,SMK,6/23/22,7,T,8,5.503,5.503,5.135,"yes, MAS altered",KR,MAS,286,340,354,562.7,21.27,541.4,345,321,502.1,398.8,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-048,SMK,6/23/22,6,T,7,5.095,5.095,4.829,"yes, MAS altered",KR,MAS,265,318,333,496.0,18.32,477.7,318,300,388.5,324.7,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-049,SMK,6/23/22,,,,,,,,KR,MAS,280,335,349,521.1,20.87,500.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-050,SMK,6/23/22,,,,,,,,KR,MAS,255,309,320,429.7,14.02,415.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-051,SMK,6/23/22,,,,,,,,KR,MAS,219,263,275,248.1,11.25,236.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-052,SMK,6/23/22,,,,,,,,KR,MAS,235,284,294,322.9,14.83,308.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-053,SMK,6/23/22,,,,,,,,KR,MAS,228,280,289,298.3,8.63,289.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-054,SMK,6/23/22,,,,,,,,KR,MAS,208,254,263,225.1,8.38,216.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-055,SMK,6/23/22,,,,,,,,KR,MAS,236,287,299,351.2,18.43,332.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-056,SMK,7/8/22,5,T,6,4.981,4.981,4.514,"yes, MAS altered",KR,MAS,224,271,283,310.0,10.85,299.2,310,279,360.2,258.8,101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-057,SMK,7/8/22,4,T,5,4.492,4.492,4.160,"yes, MAS altered",KR,MAS,200,246,253,193.8,21.33,172.5,277,255,254.5,196.3,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-058,SMK,7/21/22,5,T,6,5.000,5.000,4.577,"yes, MAS altered",KR,MAS,240,290,305,371.2,12.47,358.7,311,283,364.8,271.1,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-059,SMK,7/21/22,10,T,11,6.100,6.100,5.937,"yes, MAS altered",KR,MAS,353,412,420,1006.7,40.02,966.7,385,374,706.1,645.7,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-060,SMK,7/21/22,5,T,6,4.278,4.278,4.069,"yes, MAS altered",KR,MAS,225,275,283,295.3,10.05,285.3,263,249,215.8,182.0,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-061,SMK,7/21/22,6,T,7,4.916,4.916,4.636,"yes, MAS altered",KR,MAS,257,306,322,490.6,43.75,446.9,306,287,344.7,283.1,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-062,SMK,7/21/22,11,T,12,6.320,6.320,5.994,"yes, MAS altered",KR,MAS,352,416,435,1142.3,60.08,1082.2,400,378,793.6,666.4,127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-063,SMK,7/21/22,4,T,5,5.040,5.040,4.585,"yes, MAS altered",KR,MAS,267,325,337,487.0,14.98,472.0,314,284,374.7,272.7,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-064,SMK,7/21/22,7,T,8,5.970,5.970,5.726,"yes, MAS altered",KR,MAS,299,360,371,688.6,29.92,658.7,377,360,657.6,572.8,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-065,SMK,7/21/22,7,T,8,5.487,5.478,5.247,"yes, MAS altered",KR,MAS,303,369,381,783.2,39.62,743.6,344,328,494.6,428.5,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-066,SMK,7/21/22,6,O,6,4.714,4.574,4.177,"yes, MAS altered",KR,MAS,227,270,279,323.4,29.98,293.4,283,256,270.5,199.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-067,SMK,7/21/22,,,,,,,"don't use, poor structure",KR,MAS,270,325,338,499.3,31.76,467.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-SMK-068,SMK,7/21/22,7,O,7,4.804,4.780,4.590,"don't use, poor structure",KR,MAS,261,317,333,447.9,13.31,434.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
