Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-022,BK,6/22/22,4,T,5,4.327,4.327,4.084,"yes, MAS altered",KR,MAS,220,262,272,272.3,18.15,254.2,266,250,224.3,184.3,40.0,,,,,,,,,,,,,,,,,-0.021,5.1485344,5.228,5.170,,,,,,,
PACL,2022-PACL-BK-023,BK,6/22/22,4,T,5,4.973,4.973,4.416,"yes, MAS altered",KR,MAS,251,295,308,383.6,18.66,364.9,310,272,358.3,240.3,118.0,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,,
PACL,2022-PACL-BK-024,BK,6/22/22,6,T,7,5.763,5.763,5.486,"yes, MAS altered",KR,MAS,308,364,375,711.4,44.38,667.0,363,344,585.2,497.0,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-025,BK,6/22/22,6,T,7,5.709,5.709,5.481,"yes, MAS altered",KR,MAS,283,337,352,579.7,50.44,529.3,359,344,567.2,495.5,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-026,BK,6/22/22,6,T,7,5.453,5.453,5.115,"yes, MAS altered",KR,MAS,265,310,320,409.3,18.57,390.7,342,319,487.1,393.6,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-027,BK,6/22/22,9,T,10,5.872,5.872,5.719,"yes, MAS altered",KR,MAS,295,350,365,664.1,55.35,608.8,370,360,622.6,570.5,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-028,BK,6/22/22,6,T,7,5.851,5.851,5.469,"yes, MAS altered",KR,MAS,303,362,375,705.8,39.36,666.4,369,343,615.3,491.9,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-029,BK,6/22/22,5,T,6,5.316,5.316,5.041,"yes, MAS altered",KR,MAS,231,275,287,292.9,13.00,279.9,333,314,447.6,374.9,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-030,BK,6/22/22,9,T,10,5.466,5.466,5.261,"yes, MAS altered",KR,MAS,312,371,385,710.8,34.55,676.3,343,329,491.0,432.3,58.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-031,BK,6/22/22,6,T,7,5.804,5.804,5.430,"yes, MAS altered",KR,MAS,274,325,337,524.2,21.17,503.0,365,340,599.1,480.3,118.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
